Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7142857142857143,0.5806451612903226,0.6666666666666666,0.6206896551724138
Random Forest,0.7532467532467533,0.6290322580645161,0.7222222222222222,0.6724137931034483
XGBoost,0.7597402597402597,0.6307692307692307,0.7592592592592593,0.6890756302521008
